Timestamp,Cargo Scored,Team Number,Starting Platform,Game Piece Start,Sandstorm Hatch,Sandstorm Cargo,Ship Cargo,Ship Hatch,Rocket Cargo,Rocket Hatch,Dropped Cargo,Dropped Hatch,Total Cargo,Total Hatch,Total Points,Rocket Level,"Did they defend? If so, how well?",,HAB Level,Did they show?,Additional comments (optional),Hatches Scored
3/16/2019 16:06,0,2199,2,Neither,Neither,Neither,0,0,0,2,0,0,0,0,0,1,Did not defend,,3,Yes,,2
3/16/2019 15:14,4,2377,2,Cargo,Neither,Cargo Ship,2,0,2,2,0,0,4,2,16,2,Did not defend,,1,Yes,,2
3/16/2019 18:18,4,2377,2,Cargo,Neither,Cargo Ship,4,0,0,0,3,0,4,3,18,0,Did not defend,,1,Yes,"Complex mech, easy to drop balls/miss target",0
3/16/2019 17:24,3,2377,2,Cargo,Neither,Cargo Ship,2,0,1,2,0,0,3,1,11,2,Did not defend,,0,Yes,Quickly Got a hatch in sandstorm,2
3/16/2019 15:56,3,2377,2,Cargo,Neither,Cargo Ship,2,0,1,1,0,0,3,1,11,3,Did not defend,,1,Yes,"Pretty good at cargo, can’t pick up hatch ",1
3/16/2019 18:37,1,2377,2,Cargo,Neither,Cargo Ship,0,1,1,1,0,0,1,1,5,2,Did not defend,,1,Yes,,2
3/16/2019 16:48,4,2537,2,Cargo,Neither,Neither,3,0,1,0,0,0,4,1,14,1,Did not defend,,1,Yes,,0
3/16/2019 18:38,4,2537,2,Cargo,Neither,Neither,3,0,1,0,0,0,4,1,14,1,Did not defend,,1,Yes,,0
3/16/2019 15:06,3,2537,2,Cargo,Neither,Cargo Ship,3,0,0,0,0,0,3,0,9,0,Did not defend,,0,Yes,,0
3/16/2019 17:11,1,2537,2,Cargo,Cargo Ship,Neither,1,0,0,0,1,0,1,1,5,0,Poor,,0,Yes,,0
3/16/2019 15:36,0,2537,2,Cargo,Neither,Neither,0,0,0,0,0,0,0,0,0,0,Good,,0,Yes,Decent defense. Were able to keep them from scoring,0
3/16/2019 18:44,6,2849,2,Cargo,Neither,Cargo Ship,4,0,2,0,0,0,6,2,22,1,Did not defend,,1,Yes,"Good team, ILITE chose well, hi khang ",0
3/16/2019 14:26,4,2849,2,Hatch Panel,Neither,Neither,4,0,0,0,3,1,4,3,18,0,Did not defend,,0,Yes,,0
3/16/2019 16:13,3,2849,1,Hatch Panel,Neither,Neither,3,1,0,0,1,0,3,1,11,0,Did not defend,,1,Yes,,1
3/16/2019 12:12,3,2849,2,Cargo,Neither,Neither,3,0,0,0,2,0,3,2,13,0,Did not defend,,1,Yes,,0
3/16/2019 14:26,3,2849,2,Hatch Panel,Neither,Neither,3,0,0,0,3,0,3,3,15,0,Did not defend,,0,Yes,,0
3/16/2019 15:14,3,2849,1,Hatch Panel,Neither,Neither,3,0,0,0,0,0,3,0,9,0,Did not defend,,1,Yes,,0
3/16/2019 15:41,2,2849,1,Cargo,Neither,Neither,1,0,1,0,4,0,2,5,16,1,Did not defend,,1,Yes,,0
3/16/2019 11:58,0,2961,1,Neither,Neither,Neither,0,0,0,0,0,0,0,0,0,0,Poor,,Fell down,,Did not show up,0
3/16/2019 14:10,0,2961,1,Neither,Neither,Neither,0,0,0,0,0,0,0,0,0,0,Poor,,1,Yes,"Not great, only defense",0
3/16/2019 12:32,0,2961,1,Neither,Neither,Neither,0,0,0,0,0,0,0,0,0,0,Mediocre,,0,Yes,It was really slow,0
